id,title,difficulty,tags,link
791,House Robber,Basic,"Algorithms, Dynamic Programming",https://www.geeksforgeeks.org/problems/maximum-money2855/1
792,Common Elements,Easy,"Java, STL, Java-Collections",https://www.geeksforgeeks.org/problems/common-elements5420/1
793,Generate Binary Numbers,Easy,"Queue, Data Structures",https://www.geeksforgeeks.org/problems/generate-binary-numbers-1587115620/1
794,Path With Minimum Effort,Medium,"Graph, DFS, BFS",https://www.geeksforgeeks.org/problems/path-with-minimum-effort/1
795,Grinding Geek,Medium,,https://www.geeksforgeeks.org/problems/grinding-geek/1
796,Word Ladder I,Hard,"Graph, BFS, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/word-ladder/1
797,Max and Min Product from 2 Arrays,Basic,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/product-of-maximum-in-first-array-and-minimum-in-second3943/1
798,Unique Number of Occurrences,Easy,"set, Sorting, Map",https://www.geeksforgeeks.org/problems/unique-frequencies-of-not/1
799,Sum of dependencies in a graph,Easy,"Graph, Data Structures",https://www.geeksforgeeks.org/problems/sum-of-dependencies-in-a-graph5311/1
800,String's Count,Easy,"Strings, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/count-of-strings-that-can-be-formed-using-a-b-and-c-under-given-constraints1135/1
801,Transform to prime,Medium,"Arrays, Prime Number, sieve, Data Structures",https://www.geeksforgeeks.org/problems/transform-to-prime4635/1
802,Disjoint set (Union-Find),Easy,"union-find, Algorithms",https://www.geeksforgeeks.org/problems/disjoint-set-union-find/1
803,Ways To Tile A Floor,Basic,Fibonacci,https://www.geeksforgeeks.org/problems/ways-to-tile-a-floor5836/1
804,Split Array Largest Sum,Hard,"Arrays, Binary Search, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/split-array-largest-sum--141634/1
805,Diagonal sum in binary tree,Medium,"Recursion, Tree, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/diagonal-sum-in-binary-tree/1
806,Introduction to Doubly Linked List,Easy,,https://www.geeksforgeeks.org/problems/introduction-to-doubly-linked-list/1
807,Java Arrays | Set 1,Easy,"Arrays, Java, Data Structures",https://www.geeksforgeeks.org/problems/java-arrays-set-11354/1
808,Sum of leaf nodes in BST,Easy,"Binary Search Tree, Data Structures",https://www.geeksforgeeks.org/problems/sum-of-leaf-nodes-in-bst/1
809,Reversing the vowels,Basic,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/reversing-the-vowels5304/1
810,Maximum Diamonds,Easy,"Mathematical, Queue, STL, Data Structures, Algorithms, Heap",https://www.geeksforgeeks.org/problems/chinky-and-diamonds3340/1
811,Check If two Line segments Intersect,Medium,"Mathematical, Geometric, Algorithms",https://www.geeksforgeeks.org/problems/check-if-two-line-segments-intersect0017/1
812,Knight Walk,Medium,"DFS, Graph, BFS, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/knight-walk4521/1
813,Seating Arrangement,Easy,"Arrays, Greedy",https://www.geeksforgeeks.org/problems/seating-arrangement--170647/1
814,Taking input,Easy,"CPP, implementation",https://www.geeksforgeeks.org/problems/taking-input/1
815,Fixing Two nodes of a BST,Hard,"Binary Search Tree, Data Structures",https://www.geeksforgeeks.org/problems/fixed-two-nodes-of-a-bst/1
816,Root to leaf paths sum,Medium,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/root-to-leaf-paths-sum/1
817,Pattern 6,Basic,,https://www.geeksforgeeks.org/problems/triangle-number-1661489840/1
818,Fraction to Repeating Decimal,Medium,"Hash, Mathematical, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/a-simple-fraction0921/1
819,Find XOR of numbers from L to R.,Easy,,https://www.geeksforgeeks.org/problems/find-xor-of-numbers-from-l-to-r/1
820,Adding Ones,Easy,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/adding-ones3628/1
821,Pattern 4,Easy,,https://www.geeksforgeeks.org/problems/triangle-number-1661428795/1
822,Rearrange a linked list,Medium,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/rearrange-a-linked-list/1
823,Counting Sort,Easy,"Sorting, Algorithms",https://www.geeksforgeeks.org/problems/counting-sort/1
824,Convert an array to reduced form,Easy,"Arrays, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/convert-an-array-to-reduced-form1101/1
825,Count all triplets with given sum in sorted array,Medium,"two-pointer-algorithm, Hash",https://www.geeksforgeeks.org/problems/count-all-triplets-with-given-sum-in-sorted-array/1
826,Upper Case Conversion,Basic,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/upper-case-conversion5419/1
827,Count Number of SubTrees having given Sum,Medium,"Recursion, Tree, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/count-number-of-subtrees-having-given-sum/1
828,Number of Good Components,Medium,"DFS, Graph, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/number-of-good-components--170647/1
829,Top k numbers in a stream,Medium,"Arrays, Map, priority-queue, Data Structures",https://www.geeksforgeeks.org/problems/top-k-numbers3425/1
830,Set kth bit,Basic,"Bit Magic, Data Structures",https://www.geeksforgeeks.org/problems/set-kth-bit3724/1
831,Linked list of strings forms a palindrome,Easy,"Linked List, palindrome, Data Structures",https://www.geeksforgeeks.org/problems/linked-list-of-strings-forms-a-palindrome/1
832,Print first letter of every word in the string,Basic,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/print-first-letter-of-every-word-in-the-string3632/1
833,Print all LCS sequences,Hard,"Dynamic Programming, Backtracking, Algorithms",https://www.geeksforgeeks.org/problems/print-all-lcs-sequences3413/1
834,CamelCase Pattern Matching,Medium,"Strings, Trie, Data Structures, Advanced Data Structure",https://www.geeksforgeeks.org/problems/camelcase-pattern-matching2259/1
835,Find the Safe Position,Medium,"Mathematical, Recursion, Algorithms",https://www.geeksforgeeks.org/problems/game-of-death-in-a-circle1840/1
836,Number Of Islands,Medium,"union-find, Algorithms",https://www.geeksforgeeks.org/problems/number-of-islands/1
837,Remove vowels from string,Basic,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/remove-vowels-from-string1446/1
838,Leaf under budget,Easy,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/leaf-under-budget/1
839,Maximum of minimum for every window size,Hard,"sliding-window, Stack, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/maximum-of-minimum-for-every-window-size3453/1
840,Print N-bit binary numbers having more 1s than 0s,Medium,"Strings, Recursion, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/print-n-bit-binary-numbers-having-more-1s-than-0s0252/1
841,Count pairs Sum in matrices,Easy,"Hash, Sorting, Matrix, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/count-pairs-sum-in-matrices4332/1
842,Check if two Nodes are Cousins,Medium,"Tree, DFS, Arrays, BFS",https://www.geeksforgeeks.org/problems/check-if-two-nodes-are-cousins/1
843,Find Maximum Equal sum of Three Stacks,Medium,"Greedy, Stack, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/find-maximum-equal-sum-of-three-stacks/1
844,Generalised Fibonacci numbers,Hard,"Mathematical, Matrix, Modular Arithmetic, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/generalised-fibonacci-numbers1820/1
845,Primes sum,Easy,"Prime Number, Numbers, sieve",https://www.geeksforgeeks.org/problems/primes-sum5827/1
846,Sum Of Digits,Basic,number-theory,https://www.geeksforgeeks.org/problems/sum-of-digits1742/1
847,X Total Shapes,Medium,"DFS, Graph, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/x-total-shapes3617/1
848,Remove duplicates from a sorted doubly linked list,Easy,,https://www.geeksforgeeks.org/problems/remove-duplicates-from-a-sorted-doubly-linked-list/1
849,Buy Maximum Stocks,Medium,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/buy-maximum-stocks-if-i-stocks-can-be-bought-on-i-th-day/1
850,Word Wrap,Hard,"Dynamic Programming, Algorithms",https://www.geeksforgeeks.org/problems/word-wrap1646/1
851,Sum of elements between k1'th and k2'th smallest elements,Easy,"Arrays, Sorting, Heap, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/sum-of-elements-between-k1th-and-k2th-smallest-elements3133/1
852,Closest Strings,Easy,"Strings, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/closest-strings0611/1
853,Foldable Binary Tree,Medium,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/foldable-binary-tree/1
854,Triplet Family,Basic,"Arrays, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/triplet-family/1
855,Pattern 7,Basic,pattern-printing,https://www.geeksforgeeks.org/problems/triangle-pattern-1661492263/1
856,Insert an Element at the Bottom of a Stack,Easy,"Recursion, Stack, implementation, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/insert-an-element-at-the-bottom-of-a-stack/1
857,Strictly Increasing Array,Hard,"Dynamic Programming, Algorithms, Arrays, Data Structures",https://www.geeksforgeeks.org/problems/convert-to-strictly-increasing-array3351/1
858,Binary Search Trees,Easy,,https://www.geeksforgeeks.org/problems/binary-search-trees/1
859,Data Types - Java,Easy,Java,https://www.geeksforgeeks.org/problems/data-types-java/1
860,Min sum formed by digits,Easy,"Arrays, Queue, Heap, Data Structures",https://www.geeksforgeeks.org/problems/min-sum-formed-by-digits3551/1
861,Sort by Absolute Difference,Easy,"Arrays, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/sort-by-absolute-difference-1587115621/1
862,Longest repeating and non-overlapping substring,Hard,"Strings, Dynamic Programming, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/longest-repeating-and-non-overlapping-substring3421/1
863,Replace all 0's with 5,Basic,"number-theory, Mathematical, Algorithms",https://www.geeksforgeeks.org/problems/replace-all-0-with-5-in-an-input-integer/1
864,Closest Palindrome,Hard,"Mathematical, Algorithms, Greedy, Arrays",https://www.geeksforgeeks.org/problems/closest-palindrome4519/1
865,Bit Difference,Hard,"Bit Magic, Data Structures",https://www.geeksforgeeks.org/problems/find-sum-of-different-corresponding-bits-for-all-pairs4652/1
866,Find the left over element,Easy,"Arrays, Data Structures, Sorting",https://www.geeksforgeeks.org/problems/print-the-left-element2009/1
867,Maximum product of two numbers,Basic,"Arrays, Sorting, Algorithms, Greedy",https://www.geeksforgeeks.org/problems/maximum-product-of-two-numbers2730/1
868,Fraction pairs with sum 1,Medium,"Mathematical, Map",https://www.geeksforgeeks.org/problems/fraction-pairs-with-sum-1/1
869,Lemonade Change,Medium,"Arrays, Greedy, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/lemonade-change/1
870,Vowel or Not,Basic,"CPP, Java",https://www.geeksforgeeks.org/problems/vowel-or-not0831/1
871,AVL Tree Insertion,Hard,"Binary Search Tree, Tree, Data Structures",https://www.geeksforgeeks.org/problems/avl-tree-insertion/1
872,Smith Number,Medium,"Mathematical, series, sieve, Algorithms",https://www.geeksforgeeks.org/problems/smith-number4132/1
873,Overlapping rectangles,Easy,"Mathematical, Geometric, Algorithms",https://www.geeksforgeeks.org/problems/overlapping-rectangles1924/1
874,Fighting the darkness,Basic,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/fighting-the-darkness3949/1
875,3 Divisors,Medium,"Mathematical, Algorithms",https://www.geeksforgeeks.org/problems/3-divisors3942/1
876,Greater on right side,Easy,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/greater-on-right-side4305/1
877,Sum of Binary Tree,Basic,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/sum-of-binary-tree/1
878,Unique Subsets,Medium,"Sorting, subset, Backtracking, Algorithms",https://www.geeksforgeeks.org/problems/subsets-1587115621/1
879,Recamans sequence,Easy,"Hash, Mathematical, Recursion, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/recamans-sequence4856/1
880,Surround the 1's,Easy,"Matrix, Data Structures",https://www.geeksforgeeks.org/problems/surround-the-1s2505/1
881,Minimum steps to destination,Medium,"Dynamic Programming, Recursion, Algorithms",https://www.geeksforgeeks.org/problems/minimum-number-of-steps-to-reach-a-given-number5234/1
882,Swap two nibbles in a byte,Easy,"Bit Magic, Data Structures",https://www.geeksforgeeks.org/problems/swap-two-nibbles-in-a-byte0446/1
883,Alternative Sorting,Basic,"Arrays, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/alternative-sorting1311/1
884,Phone directory,Hard,"Map, Trie, Data Structures, Advanced Data Structure",https://www.geeksforgeeks.org/problems/phone-directory4628/1
885,All divisors of a Number,Easy,"Mathematical, Factorization, Algorithms",https://www.geeksforgeeks.org/problems/all-divisors-of-a-number/1
886,Minimum Points To Reach Destination,Hard,"Dynamic Programming, Algorithms",https://www.geeksforgeeks.org/problems/minimum-points-to-reach-destination0540/1
887,Maximum no of 1's row,Easy,"Searching, Matrix, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/maximum-no-of-1s-row3027/1
888,Geek and its Game of Coins,Medium,"Dynamic Programming, Algorithms",https://www.geeksforgeeks.org/problems/geek-and-its-game-of-coins4043/1
889,Pattern 10,Basic,pattern-printing,https://www.geeksforgeeks.org/problems/triangle-pattern-1661718013/1
890,Transform String,Medium,"Hash, Strings, Map, Data Structures",https://www.geeksforgeeks.org/problems/transform-string5648/1
891,GCD of Array,Basic,"Mathematical, Algorithms",https://www.geeksforgeeks.org/problems/gcd-of-array0614/1
892,Step by Step Condition - Java,Easy,Java-Control-Flow,https://www.geeksforgeeks.org/problems/step-by-step-condition-java/1
893,Hamiltonian Path,Medium,"DFS, Graph, Backtracking, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/hamiltonian-path2522/1
894,How Many X's?,Medium,"Numbers, Modular Arithmetic, Algorithms",https://www.geeksforgeeks.org/problems/how-many-xs4514/1
895,Smallest Positive Integer that can not be represented as Sum,Hard,"Arrays, Mathematical, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/smallest-positive-integer-that-can-not-be-represented-as-sum--141631/1
896,Sum Palindrome,Basic,"Mathematical, palindrome, Algorithms",https://www.geeksforgeeks.org/problems/sum-palindrome3857/1
897,Odd Even Problem,Easy,"Hash, Strings, Bit Magic, Data Structures",https://www.geeksforgeeks.org/problems/help-nobita0532/1
898,Binary representation of next number,Easy,"Bit Magic, Data Structures",https://www.geeksforgeeks.org/problems/binary-representation-of-next-number3648/1
899,Missing element of AP,Medium,"Arrays, Searching, Data Structures, Algorithms, Binary Search, Hash",https://www.geeksforgeeks.org/problems/missing-element-of-ap2228/1
900,Merge Sort on Doubly Linked List,Hard,"doubly-linked-list, Linked List, Sorting, Merge Sort, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/merge-sort-on-doubly-linked-list/1
901,Pass by Reference and Value,Easy,,https://www.geeksforgeeks.org/problems/pass-by-reference-and-value/1
902,All Unique Permutations of an array,Medium,"Recursion, Backtracking, Algorithms",https://www.geeksforgeeks.org/problems/all-unique-permutations-of-an-array/1
903,Sort in specific order,Easy,"Arrays, Sorting, Data Structures, Algorithms, Numbers",https://www.geeksforgeeks.org/problems/sort-in-specific-order2422/1
904,Maximum Connected group,Hard,"BFS, Graph, DFS, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/maximum-connected-group/1
905,Flatten binary tree to linked list,Medium,"Linked List, Tree, Data Structures",https://www.geeksforgeeks.org/problems/flatten-binary-tree-to-linked-list/1
906,Frequency Game,Easy,"Map, Data Structures",https://www.geeksforgeeks.org/problems/frequency-game/1
907,Juggler Sequence,Easy,"Mathematical, Recursion, series, Algorithms",https://www.geeksforgeeks.org/problems/juggler-sequence3930/1
908,Twice Counter,Easy,"Hash, Strings, Map, Data Structures",https://www.geeksforgeeks.org/problems/twice-counter4236/1
909,Kth distance,Easy,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/kth-distance3757/1
910,Partition array to k subsets,Hard,"Dynamic Programming, Backtracking, Algorithms",https://www.geeksforgeeks.org/problems/partition-array-to-k-subsets/1
911,Remove Half Nodes,Easy,"Tree, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/remove-half-nodes/1
912,Adding Array Elements,Easy,"Arrays, Heap, Data Structures",https://www.geeksforgeeks.org/problems/adding-array-element4756/1
913,String Subsequence,Medium,"Dynamic Programming, Algorithms, Strings, Data Structures",https://www.geeksforgeeks.org/problems/find-number-of-times-a-string-occurs-as-a-subsequence3020/1
914,Iterative Postorder,Medium,"Stack, Tree, Data Structures",https://www.geeksforgeeks.org/problems/postorder-traversal-iterative/1
915,Check for Power,Basic,"Mathematical, Algorithms",https://www.geeksforgeeks.org/problems/check-if-a-number-is-power-of-another-number5442/1
916,Smallest factorial number,Medium,"Searching, Mathematical, factorial, Binary Search, Algorithms",https://www.geeksforgeeks.org/problems/smallest-factorial-number5929/1
917,Determinant of a Matrix,Medium,"Matrix, Data Structures",https://www.geeksforgeeks.org/problems/determinant-of-a-matrix-1587115620/1
918,Count Special Numbers,Medium,"Arrays, Mathematical, sieve, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/count-special-numbers--170647/1
919,K-Palindrome,Medium,"Dynamic Programming, Algorithms",https://www.geeksforgeeks.org/problems/find-if-string-is-k-palindrome-or-not1923/1
920,Operating an array,Easy,"Arrays, Data Structures, Searching, Algorithms",https://www.geeksforgeeks.org/problems/operating-an-array/1
921,Longest Palindromic Substring,Medium,"Strings, Data Structures, Dynamic Programming",https://www.geeksforgeeks.org/problems/longest-palindrome-in-a-string1956/1
922,Remove all occurences of duplicates in a linked list,Medium,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/remove-all-occurences-of-duplicates-in-a-linked-list/1
923,Positive Negative Pair,Easy,"Hash, Data Structures",https://www.geeksforgeeks.org/problems/positive-negative-pair5209/1
924,Making A Large Island,Hard,"Matrix, DFS, BFS, union-find",https://www.geeksforgeeks.org/problems/making-a-large-island/1
925,Maximum difference of zeros and ones in binary string,Medium,"Strings, Dynamic Programming, Kadane, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/maximum-difference-of-zeros-and-ones-in-binary-string4111/1
926,You and your books,Easy,"Arrays, Dynamic Programming, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/you-and-your-books/1
927,Fascinating Number,Easy,"Arrays, Data Structures, Strings, Hash",https://www.geeksforgeeks.org/problems/fascinating-number3751/1
928,AVL Tree Deletion,Hard,"Tree, AVL-Tree, Data Structures, Advanced Data Structure",https://www.geeksforgeeks.org/problems/avl-tree-deletion/1
929,Sum of Products,Medium,"Mathematical, Bit Magic, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/sum-of-products5049/1
930,Toeplitz matrix,Easy,"Matrix, Data Structures",https://www.geeksforgeeks.org/problems/toeplitz-matrix/1
931,Longest Arithmetic Subsequence,Medium,"Arrays, Dynamic Programming, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/longest-arithmetic-progression1019/1
932,Two Swaps,Easy,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/two-swaps--155623/1
933,Introduction to Trees,Easy,,https://www.geeksforgeeks.org/problems/introduction-to-trees/1
934,Rotate Each Row of Matrix K Times,Medium,"Matrix, Data Structures, Modular Arithmetic, Algorithms",https://www.geeksforgeeks.org/problems/left-rotate-matrix-k-times2351/1
935,Quick Sort on Linked List,Medium,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/quick-sort-on-linked-list/1
936,Combination Sum II,Medium,"Arrays, Recursion, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/combination-sum-ii-1664263832/1
937,Arrange Consonants and Vowels,Medium,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/arrange-consonants-and-vowels/1
938,Account Merge,Hard,"Arrays, Hash, DFS, Graph, union-find, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/account-merge/1
939,Smaller on Left,Medium,"set, Arrays, Hash, Map, Data Structures",https://www.geeksforgeeks.org/problems/smaller-on-left20360700/1
940,Generate IP Addresses,Medium,"Strings, Backtracking, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/generate-ip-addresses/1
941,Count distinct pairs with difference k,Medium,"Hash, Map, Data Structures",https://www.geeksforgeeks.org/problems/count-distinct-pairs-with-difference-k1233/1
942,Game of XOR,Medium,"Mathematical, Bit Magic, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/game-of-xor1541/1
943,Remainder on dividing by 11,Easy,"Mathematical, Modular Arithmetic, Algorithms",https://www.geeksforgeeks.org/problems/remainder-on-dividing-by-11--170647/1
944,Check if a string is repetition of its substring of k-length,Medium,"Strings, Map, Data Structures",https://www.geeksforgeeks.org/problems/check-if-a-string-is-repetition-of-its-substring-of-k-length3302/1
945,Queue Operations,Easy,"Queue, Data Structures",https://www.geeksforgeeks.org/problems/queue-operations/1
946,Anagram Palindrome,Basic,"Hash, Strings, palindrome, Data Structures",https://www.geeksforgeeks.org/problems/anagram-palindrome4720/1
947,Two Mirror Trees,Easy,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/two-mirror-trees/1
948,Move Last Element to Front of a Linked List,Easy,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/move-last-element-to-front-of-a-linked-list/1
949,Maximum sum Rectangle,Medium,"prefix-sum, Matrix, Kadane, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/maximum-sum-rectangle2948/1
950,Prefix match with other strings,Medium,"Strings, Trie, Data Structures, Advanced Data Structure",https://www.geeksforgeeks.org/problems/prefix-match-with-other-strings/1
951,Euler circuit and Path,Medium,"Graph, Data Structures",https://www.geeksforgeeks.org/problems/euler-circuit-and-path/1
952,Print Diagonally,Easy,"Misc, Matrix, Data Structures",https://www.geeksforgeeks.org/problems/print-diagonally4331/1
953,Restrictive Candy Crush,Medium,"Strings, Stack, Data Structures",https://www.geeksforgeeks.org/problems/restrictive-candy-crush--141631/1
954,Paths from root with a specified sum,Medium,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/paths-from-root-with-a-specified-sum/1
955,Matchsticks game,Medium,"Mathematical, Algorithms",https://www.geeksforgeeks.org/problems/-matchsticks-game4906/1
956,Decode the string,Medium,"Recursion, Stack, Backtracking, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/decode-the-string2444/1
957,Learning to be precise,Easy,CPP,https://www.geeksforgeeks.org/problems/learning-to-be-precise/1
958,Huffman Encoding,Hard,"Heap, priority-queue, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/huffman-encoding3345/1
959,Count Odd Even - Java,Easy,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/count-odd-even-java/1
960,Modular Node,Basic,"Linked List, Modular Arithmetic, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/modular-node/1
961,Preorder Traversal and BST,Medium,"Binary Search Tree, Tree, Data Structures",https://www.geeksforgeeks.org/problems/preorder-traversal-and-bst4006/1
962,Generate Parentheses,Medium,"Recursion, Backtracking, Algorithms",https://www.geeksforgeeks.org/problems/generate-all-possible-parentheses/1
963,Rohan's Love for Matrix,Medium,"Matrix, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/rohans-love-for-matrix4723/1
964,G.F Series,Basic,"Mathematical, Recursion, Algorithms",https://www.geeksforgeeks.org/problems/gf-series3535/1
965,Xoring and Clearing,Easy,"Bit Magic, Data Structures",https://www.geeksforgeeks.org/problems/xoring-and-clearing/1
966,Merge two strings,Basic,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/merge-two-strings2736/1
967,Minimum Swaps for Bracket Balancing,Medium,"Strings, Greedy, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/minimum-swaps-for-bracket-balancing2704/1
968,nPr,Basic,"Mathematical, permutation, Algorithms",https://www.geeksforgeeks.org/problems/npr4253/1
969,Count pairs with given sum,Easy,"Arrays, Data Structures, Hash",https://www.geeksforgeeks.org/problems/count-pairs-with-given-sum--150253/1
970,Get Minimum Squares,Medium,"Dynamic Programming, Algorithms, Arrays",https://www.geeksforgeeks.org/problems/get-minimum-squares0538/1
971,Count Non-Leaf Nodes in Tree,Basic,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/count-non-leaf-nodes-in-tree/1
972,Maximum Pairwise Computed Value,Easy,"Arrays, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/maximum-in-struct-array/1
973,Candy,Hard,"Arrays, Greedy, Divide and Conquer, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/candy/1
974,Delete all occurrences of a given key in a doubly linked list,Medium,doubly-linked-list,https://www.geeksforgeeks.org/problems/delete-all-occurrences-of-a-given-key-in-a-doubly-linked-list/1
975,Check String,Basic,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/check-string1818/1
976,Print the Kth Digit,Basic,"Mathematical, Algorithms",https://www.geeksforgeeks.org/problems/print-the-kth-digit3520/1
977,Not a subset sum,Medium,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/smallest-number-subset1220/1
978,Exit Point in a Matrix,Medium,"Matrix, Data Structures",https://www.geeksforgeeks.org/problems/exit-point-in-a-matrix0905/1
979,Techfest and the Queue,Medium,"Prime Number, sieve",https://www.geeksforgeeks.org/problems/techfest-and-the-queue1044/1
980,Graph is Tree or Not,Medium,"DFS, Graph, Tree, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/is-it-a-tree/1
981,Convert to Roman No,Easy,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/convert-to-roman-no/1
982,Average of Prefix,Easy,"Arrays, Mathematical, Data Structures, Algorithms, prefix-sum",https://www.geeksforgeeks.org/problems/average4856/1
983,Step by Step Condition,Easy,CPP-Control-Flow,https://www.geeksforgeeks.org/problems/step-by-step-condition/1
984,Largest subsquare surrounded by X,Medium,"Matrix, Data Structures",https://www.geeksforgeeks.org/problems/largest-subsquare-surrounded-by-x0558/1
985,Cheapest Flights Within K Stops,Medium,"Graph, Shortest Path, BFS, Queue, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/cheapest-flights-within-k-stops/1
986,Insertion Sort for Singly Linked List,Medium,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/insertion-sort-for-singly-linked-list/1
987,Keypad typing,Basic,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/keypad-typing0119/1
988,Pattern 8,Basic,,https://www.geeksforgeeks.org/problems/triangle-pattern-1661493231/1
989,Help Classmates,Medium,"Stack, Data Structures",https://www.geeksforgeeks.org/problems/help-classmates--141631/1
990,Sum of Leaf Nodes,Easy,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/sum-of-leaf-nodes/1
991,Deque Implementations,Easy,"Java, Queue, STL, Java-Collections, Data Structures",https://www.geeksforgeeks.org/problems/deque-implementations/1
992,Largest rectangular sub-matrix whose sum is 0,Hard,"prefix-sum, Hash, Dynamic Programming, Matrix, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/largest-rectangular-sub-matrix-whose-sum-is-0/1
993,Postfix to Infix Conversion,Medium,,https://www.geeksforgeeks.org/problems/postfix-to-infix-conversion/1
994,Preorder traversal (Iterative),Medium,"Stack, Tree, Data Structures",https://www.geeksforgeeks.org/problems/preorder-traversal-iterative/1
995,Search in a row-wise sorted matrix,Easy,"Binary Search, Arrays, Matrix",https://www.geeksforgeeks.org/problems/search-in-a-row-wise-sorted-matrix/1
996,Stock Buy and Sell – Max K Transactions Allowed,Hard,"Dynamic Programming, Algorithms",https://www.geeksforgeeks.org/problems/maximum-profit4657/1
997,Find shortest safe route in a matrix,Medium,"DFS, Graph",https://www.geeksforgeeks.org/problems/find-shortest-safe-route-in-a-matrix/1
998,Construct list using given q XOR queries,Medium,"Arrays, Bit Magic, Data Structures",https://www.geeksforgeeks.org/problems/construct-list-using-given-q-xor-queries/1
999,Iterative Inorder,Medium,"Stack, Tree, Data Structures",https://www.geeksforgeeks.org/problems/inorder-traversal-iterative/1
