id,title,difficulty,tags,link
46,Union of 2 Sorted with Duplicates,Medium,"Arrays, Data Structures, two-pointer-algorithm",https://www.geeksforgeeks.org/problems/union-of-two-sorted-arrays-1587115621/1
47,Reverse a String,Basic,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/reverse-a-string/1
48,Check Equal Arrays,Easy,"Arrays, Hash, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/check-if-two-arrays-are-equal-or-not3847/1
49,Anagram,Easy,"Strings, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/anagram-1587115620/1
50,Palindrome String,Easy,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/palindrome-string0817/1
51,Largest subarray with 0 sum,Medium,"Arrays, Hash, Data Structures",https://www.geeksforgeeks.org/problems/largest-subarray-with-0-sum/1
52,Reverse Words,Easy,"Strings, Data Structures",https://www.geeksforgeeks.org/problems/reverse-words-in-a-given-string5459/1
53,K Sized Subarray Maximum,Medium,"sliding-window, Arrays, Queue, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/maximum-of-all-subarrays-of-size-k3101/1
54,Middle of a Linked List,Easy,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/finding-middle-element-in-a-linked-list/1
55,Top View of Binary Tree,Medium,"Binary Search Tree, Tree, Data Structures",https://www.geeksforgeeks.org/problems/top-view-of-binary-tree/1
56,Palindrome Linked List,Medium,"Linked List, palindrome, Data Structures",https://www.geeksforgeeks.org/problems/check-if-linked-list-is-pallindrome/1
57,Nth Fibonacci Number,Easy,"Dynamic Programming, Mathematical, Fibonacci, Algorithms",https://www.geeksforgeeks.org/problems/nth-fibonacci-number1335/1
58,Two Sum - Pair with Given Sum,Easy,"Arrays, Hash, Data Structures",https://www.geeksforgeeks.org/problems/key-pair5616/1
59,Longest Consecutive Subsequence,Medium,"Hash, Data Structures",https://www.geeksforgeeks.org/problems/longest-consecutive-subsequence2449/1
60,Reverse array in groups,Basic,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/reverse-array-in-groups0255/1
61,Frequencies in a Limited Array,Easy,"Arrays, Hash, Data Structures",https://www.geeksforgeeks.org/problems/frequency-of-array-elements-1587115620/1
62,Find triplets with zero sum,Medium,"two-pointer-algorithm, Arrays, Searching, Hash, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/find-triplets-with-zero-sum/1
63,Row with max 1s,Medium,"Arrays, Matrix, Data Structures",https://www.geeksforgeeks.org/problems/row-with-max-1s0023/1
64,Power Of Numbers,Medium,"Mathematical, Recursion, Divide and Conquer, Algorithms",https://www.geeksforgeeks.org/problems/power-of-numbers-1587115620/1
65,Balanced Tree Check,Easy,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/check-for-balanced-tree/1
66,Longest Increasing Subsequence,Medium,"Dynamic Programming, Binary Search, Algorithms",https://www.geeksforgeeks.org/problems/longest-increasing-subsequence-1587115620/1
67,Prime Number,Basic,"Mathematical, Prime Number, Algorithms",https://www.geeksforgeeks.org/problems/prime-number2314/1
68,Min and Max in Array,Basic,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/find-minimum-and-maximum-element-in-an-array4428/1
69,Reverse a linked list,Easy,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/reverse-a-linked-list/1
70,Sorted Array Search,Basic,"Searching, Binary Search, Algorithms",https://www.geeksforgeeks.org/problems/who-will-win-1587115621/1
71,nCr,Medium,"Dynamic Programming, Mathematical, Algorithms",https://www.geeksforgeeks.org/problems/ncr1019/1
72,Rat in a Maze Problem - I,Medium,"Backtracking, Algorithms",https://www.geeksforgeeks.org/problems/rat-in-a-maze-problem/1
73,Triplet Sum in Array,Medium,"two-pointer-algorithm, Arrays, Hash, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/triplet-sum-in-array-1587115621/1
74,K-th element of two  Arrays,Medium,"Arrays, Divide and Conquer, Data Structures, Algorithms, Binary Search",https://www.geeksforgeeks.org/problems/k-th-element-of-two-sorted-array1317/1
75,Longest Palindrome in a String,Medium,"Strings, Dynamic Programming, palindrome, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/longest-palindrome-in-a-string3411/1
76,Diameter of a Binary Tree,Medium,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/diameter-of-binary-tree/1
77,DFS of Graph,Easy,"DFS, Graph, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/depth-first-traversal-for-a-graph/1
